                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02743,                   0.32,                0.89333,                0.81166,              0.0002374,              0.0002374,              0.0002374
                      2,                0.01371,                0.30222,                0.86222,                0.80757,             0.00045187,             0.00045187,             0.00045187
                      3,                0.01699,                0.30667,                   0.88,                0.80696,             0.00064277,             0.00064277,             0.00064277
                      4,                0.01905,                0.40444,                0.83111,                0.78159,             0.00060797,             0.00060797,             0.00060797
                      5,                0.00882,                0.33778,                0.84889,                0.81076,             0.00060797,             0.00060797,             0.00060797
                      6,                0.00649,                0.36444,                0.86222,                0.79338,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00532,                0.34667,                0.87556,                 0.7987,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00412,                0.35111,                0.85778,                0.79591,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00543,                0.38667,                   0.84,                0.79624,              0.0004666,              0.0004666,              0.0004666
                     10,                 0.0052,                0.33778,                0.87556,                0.80217,             0.00043126,             0.00043126,             0.00043126
                     11,                 0.0046,                0.28444,                0.83556,                0.81672,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00411,                0.28444,                0.84444,                0.81909,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00348,                0.29778,                0.85333,                0.81067,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00337,                0.29333,                0.86667,                 0.8191,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00329,                0.35111,                0.87111,                0.81118,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00303,                   0.32,                   0.88,                0.81228,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00299,                0.34222,                0.87111,                0.80569,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00294,                0.33333,                0.85778,                0.81085,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00284,                0.35111,                0.86222,                0.80644,             0.00011317,             0.00011317,             0.00011317
                     20,                 0.0027,                0.33778,                0.84889,                0.80602,             7.7826e-05,             7.7826e-05,             7.7826e-05
