                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03173,                0.25907,                0.93782,                0.75083,              0.0002373,              0.0002373,              0.0002373
                      2,                0.02631,                0.27461,                0.90155,                0.73938,             0.00045177,             0.00045177,             0.00045177
                      3,                0.02245,                 0.2228,                0.91192,                0.75391,             0.00064268,             0.00064268,             0.00064268
                      4,                0.02056,                0.35233,                0.92746,                0.72345,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01443,                0.36788,                0.91192,                0.74033,             0.00060797,             0.00060797,             0.00060797
                      6,                0.01236,                0.36788,                0.93264,                0.71961,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00818,                0.35233,                0.94301,                0.73021,             0.00053728,             0.00053728,             0.00053728
                      8,                 0.0062,                0.27979,                0.93264,                0.73343,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00513,                0.21762,                 0.9171,                0.74773,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00486,                0.23316,                0.92228,                 0.7449,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00436,                0.20725,                0.94301,                0.75183,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00414,                0.25907,                0.94819,                0.74292,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00386,                0.24352,                0.93264,                0.74737,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00362,                0.25389,                0.94301,                0.74378,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00365,                0.22798,                0.93782,                0.75329,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00355,                0.22798,                0.92746,                0.75064,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00346,                0.24352,                0.93782,                0.74761,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00332,                0.25389,                0.93782,                0.74471,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00323,                 0.2487,                0.92746,                0.75003,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00329,                0.23316,                0.94301,                0.74875,             7.7826e-05,             7.7826e-05,             7.7826e-05
