                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01233,                0.36979,                 0.9375,                0.83826,             0.00023728,             0.00023728,             0.00023728
                      2,                0.01161,                0.40625,                0.94271,                0.82914,             0.00045175,             0.00045175,             0.00045175
                      3,                 0.0137,                0.41146,                0.85938,                0.82076,             0.00064267,             0.00064267,             0.00064267
                      4,                0.01725,                  0.375,                0.85938,                0.84302,             0.00060797,             0.00060797,             0.00060797
                      5,                0.00833,                0.32292,                0.85417,                0.85361,             0.00060797,             0.00060797,             0.00060797
                      6,                0.00656,                0.32812,                0.91146,                0.85027,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00534,                0.33854,                0.89062,                0.84524,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00448,                0.34896,                0.90625,                0.83734,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00468,                0.32292,                0.88542,                0.84646,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00433,                0.33854,                0.88021,                0.83992,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00395,                0.32292,                0.86458,                0.84412,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00392,                0.33854,                0.89062,                0.83673,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00341,                0.32292,                  0.875,                0.83925,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00344,                0.33854,                0.88021,                0.84011,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00332,                0.35417,                0.86979,                0.83535,             0.00025454,             0.00025454,             0.00025454
                     16,                 0.0034,                0.34896,                0.88021,                 0.8319,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00327,                0.33333,                  0.875,                0.83757,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00319,                0.33854,                0.86979,                0.83917,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00315,                0.31771,                  0.875,                 0.8395,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00305,                0.31771,                0.86458,                0.84013,             7.7826e-05,             7.7826e-05,             7.7826e-05
