                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00703,                0.44493,                0.95154,                0.70336,             0.00023728,             0.00023728,             0.00023728
                      2,                0.00662,                0.50661,                 0.9207,                 0.6882,             0.00045175,             0.00045175,             0.00045175
                      3,                0.01663,                0.52863,                0.98678,                0.68497,             0.00064267,             0.00064267,             0.00064267
                      4,                 0.0191,                0.48018,                0.96035,                0.69653,             0.00060797,             0.00060797,             0.00060797
                      5,                0.00852,                 0.4185,                0.94714,                0.70745,             0.00060797,             0.00060797,             0.00060797
                      6,                0.00668,                0.43612,                0.94714,                0.70979,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00668,                0.46696,                 0.9207,                0.70245,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00428,                0.49339,                 0.9207,                0.70124,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00399,                 0.5022,                0.92511,                 0.6976,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00381,                0.45815,                 0.9163,                 0.6997,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00356,                0.44493,                 0.9207,                0.70329,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00354,                0.45374,                 0.9163,                0.69722,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00331,                0.44934,                 0.9207,                0.70278,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00336,                0.44934,                 0.9207,                0.70446,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00325,                0.44493,                 0.9207,                0.70112,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00335,                0.45374,                 0.9207,                 0.6979,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00323,                0.47137,                 0.9207,                0.69941,             0.00018385,             0.00018385,             0.00018385
                     18,                 0.0032,                0.47137,                 0.9163,                0.69943,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00311,                0.45815,                 0.9207,                0.70015,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00305,                0.46696,                 0.9207,                0.70016,             7.7826e-05,             7.7826e-05,             7.7826e-05
